clase,probclase1,probclase2,probclase3,Country,L1Name,L2Namev2,BECTUAREAL2,BECCVPTCHAREAL2,BECAWMNSHPINDXL2,BECAWMNNNGHL2,BECEFFMESHSIZEL2,BECAWEDGDENSL2,BECPOPDENSADJL2,BECPRSBRTL2,BECPRSSUBWAYL2,BECADCRCTYAVGL2,BECADINTDENSL2,BECADSTTDENSL2,BECURBTRVDELAYINDEXL2
2,4.60E-15,0.999972919,0.00003,Brasil,Aracatuba,Araçatuba,3999.5208,1400.3825,5.9704,82.4727,96.8348,0.61392373,2948.773,0,0,1.02768015,5.280162696,1100.392994,0.043010744
2,9.57E-14,0.999997681,0.00000,Brasil,Araguaina,Araguaína,3550.2392,1420.8865,4.865,80.8239,19.4947,0.211011933,2511.174,0,0,1.053970944,1.514963388,422.0063605,0.033567171
2,6.30E-13,1,0.00000,Brasil,Araguari,Araguari,2548.9881,1357.8446,4.4487,109.7824,17.7262,0.271314724,2373.018,0,0,1.078489432,1.381473845,386.5487574,0.049551525
2,1.82E-08,0.998827601,0.00117,Brasil,Arapiraca,Arapiraca,2753.9082,1153.5507,4.3071,87.4411,93.3306,1.61352054,4026.905,0,0,1.040448043,16.52424678,3536.942237,0.035286293
2,8.37E-15,0.999510638,0.00049,Brasil,Arapongas,Arapongas,2121.3036,941.4901,6.0928,75.904,91.0033,1.985510316,2524.699,0,0,1.044553188,7.924946897,1968.905447,0.051039846
2,9.12E-15,0.999999989,0.00000,Brasil,Arapongas,Rolandia,1362.96,933.8718,5.3624,89.8497,29.7572,1.345743995,1824.763,0,0,1.059975891,4.824858534,1293.991346,0.025424895
2,5.64E-12,0.999987247,0.00001,Brasil,Araraquara,Americo Brasilense,607.14,479.3414,4.122,60.8115,24.0139,1.778312098,2409.853,0,0,1.060393239,7.605033698,1480.557743,0.017911474
2,5.74E-13,0.999278174,0.00072,Brasil,Araraquara,Araraquara,4991.48,1400.9084,5.373,80.4332,129.9237,0.785312145,2357.794,0,0,1.039092447,7.76836395,1669.783189,0.061427971
2,1.28E-13,0.999998876,0.00000,Brasil,Araras,Araras,2883.7688,1094.319,4.8085,82.3505,64.3919,0.834781695,2152.856,0,0,1.052265029,6.488445255,1320.002899,0.023334256
2,8.71E-15,0.899224193,0.10078,Brasil,Araruama,Araruama,4041.8949,1149.0847,6.9879,83.2851,161.5289,2.134493648,1620.717,0,0,1.045059597,8.369255088,1906.912292,0.087607587
3,4.25E-08,2.60E-15,1.00000,Brasil,Araruama,Iguaba Grande,630.8093,569.6006,4.5048,65.5757,69.2955,7.359677033,1577.382,0,0,1.043619828,30.56138527,5294.876098,0.039250064
2,4.08E-14,0.98992133,0.01008,Brasil,Araruama,Saquerema,3054.5863,1168.6567,5.9408,66.9584,83.1171,0.972200946,888.3197,0,0,1.055682357,12.39199795,3213.497161,0.042428913
2,9.30E-14,0.999996609,0.00000,Brasil,Atibaia,Atibaia,3620.6989,1426.9924,5.4419,85.5649,100.3287,1.581810546,1573.774,0,0,1.097510155,8.40981537,2573.131014,0.032280276
2,5.53E-12,0.999999914,0.00000,Brasil,Atibaia,Bom Jesus dos Perdoes,433.9828,533.3224,3.7252,77.7271,6.7358,1.780499556,859.7365,0,0,1.117000099,4.500780509,1637.909025,0.011443362
3,3.71E-06,1.85E-33,1.00000,Brasil,Balneario Camboriu,Balneário Camboriú,1391.8485,725.945,3.5449,61.3437,214.5302,6.578267016,4607.796,0,0,1.039869372,39.01259825,7783.102009,0.10371446
2,2.71E-12,0.999977664,0.00002,Brasil,Balneario Camboriu,Camboriu,948.87,624.1444,4.4343,69.222,18.8405,1.499173501,2787.795,0,0,1.073414943,6.857966145,1677.713241,0.081584678
2,3.00E-15,1,0.00000,Brasil,Barbacena,Barbacena,1797.2955,1296.7921,5.793,95.8811,25.2711,0.752176464,3062.693,0,0,1.127797993,3.32914576,996.1954739,0.057811006
2,5.17E-09,0.999999995,0.00000,Brasil,Barreiras,Barreiras,2226.588,919.7251,3.2169,280.063,2.0771,0.038713207,1784.765,0,0,1.085450253,1.165852814,995.21403,0.047520741
2,1.08E-13,0.999999847,0.00000,Brasil,Barretos,Barretos,2426.029,1568.3207,4.8524,84.757,29.9565,0.468112638,2761.294,0,0,1.077188915,2.85142269,1013.7285,0.048360916
3,1.06E-11,4.52E-14,1.00000,Brasil,Bauru,Bauru,6567.9345,1113.735,5.505,66.8714,309.6988,1.721840116,3451.36,0,0,1.034965089,15.17975599,2869.531428,0.053679326
3,4.80E-09,0,1.00000,Brasil,Belem,Ananindeua,6045.4,1371.7479,4.5371,60.5106,1814.7062,6.257697724,6941.521,0,0,1.031346422,34.47610207,5545.990686,0.145894364
3,3.33E-16,1.80E-201,1.00000,Brasil,Belem,Belém,13013.1699,1978.7925,6.9204,61.6916,1062.1294,2.172122622,8866.153,1,0,1.039545334,11.97970773,2219.530086,0.236006825
2,4.80E-12,0.999997846,0.00000,Brasil,Belem,Benevides,1054.266,799.196,3.7853,75.2559,13.237,1.100387466,1185.584,0,0,1.030470243,5.9759479,1668.09779,0.016340516
3,1.43E-10,9.15E-09,1.00000,Brasil,Belem,Marituba,1690.7422,1012.4468,5.6361,63.158,181.2542,6.436416525,3777.896,0,0,1.037048945,14.85981931,3319.405848,0.047385897
2,4.47E-11,1,0.00000,Brasil,Belem,Santa Barbara do Para,258.39,437.2008,2.939,106.5846,0.4878,0.248358078,320.0293,0,0,1.093997703,1.053472221,413.201861,0.021463304
2,2.72E-12,1,0.00000,Brasil,Belem,Santa Isabel do Para,1026.3596,1012.4664,3.9737,138.3793,5.6716,0.375314131,840.5232,0,0,1.059676202,1.421468174,505.4440818,0.009605655
3,5.84E-97,0,1.00000,Brasil,Belo Horizonte,Belo Horizonte,25501.8522,1481.2369,6.4738,60.3356,18888.5596,10.61561114,8618.195,1,1,1.037989528,85.40550207,15003.27593,0.180347419
3,2.76E-11,1.43E-89,1.00000,Brasil,Belo Horizonte,Betim,6366.6165,1601.1486,5.3916,65.3383,699.4723,3.54839373,3790.645,0,0,1.072718822,23.35621499,5214.547672,0.057180429
2,3.39E-11,1,0.00000,Brasil,Belo Horizonte,Confins,192.78,452.511,3.2719,102.6033,3.1408,2.042584102,322.948,0,0,1.070736817,6.928839037,2307.439436,0.013398733
3,2.76E-10,0,1.00000,Brasil,Belo Horizonte,Contagem,7849.3578,1056.3789,4.9236,65.4041,1277.8511,3.980313868,5864.646,0,0,1.044125202,44.67607481,8745.107749,0.130330012
2,2.89E-11,1,0.00000,Brasil,Belo Horizonte,Esmeraldas,1572.3054,406.8344,2.7744,99.11,0.6705,0.063554799,554.0571,0,0,1.128374568,2.912200471,1081.841733,0.011607576
3,4.07E-06,4.43E-10,1.00000,Brasil,Belo Horizonte,Ibirité,1294.5653,318.5024,3.8002,75.6977,21.6271,1.59288331,4161.007,0,0,1.078918094,31.72145666,6076.938228,0.033285499
2,1.24E-06,0.902190973,0.09781,Brasil,Belo Horizonte,Igarape,854.546,682.7901,3.273,77.4276,20.4806,1.676888859,1013.779,0,0,1.064439334,17.3688059,4694.567189,0.006033877
2,2.85E-09,0.997280991,0.00272,Brasil,Belo Horizonte,Juatuba,874.4461,573.798,3.7617,71.595,15.9909,1.121362388,581.248,0,0,1.076800129,14.70158595,3960.158239,0.004162604
2,1.33E-12,0.999810266,0.00019,Brasil,Belo Horizonte,Lagoa Santa,2125.986,918.1526,4.8058,70.4673,88.5352,2.446790289,864.9377,0,0,1.076043262,8.313685941,2163.303034,0.04565322
2,1.23E-09,0.999970392,0.00003,Brasil,Belo Horizonte,Mario Campos,263.2521,362.286,2.8909,73.5533,4.7149,2.29256306,870.2061,0,0,1.092259578,10.48681537,3012.134497,0.029007346
2,5.81E-14,0.999998932,0.00000,Brasil,Belo Horizonte,Mateus Leme,838.2564,850.3831,4.8425,75.4855,8.3449,0.858866423,522.91,0,0,1.08681174,5.583759681,1812.237765,0.007205927
2,3.04E-13,0.999996027,0.00000,Brasil,Belo Horizonte,Matozinhos,781.2,700.0108,4.4983,71.4323,15.1282,1.34770764,1087.352,0,0,1.058590428,4.436105963,1016.968779,0.022907138
2,4.63E-11,0.999999999,0.00000,Brasil,Belo Horizonte,Nova Lima,2395.079,461.7082,3.2118,73.1256,6.7056,0.235488709,826.7942,0,0,1.185711651,7.274410035,2171.64438,0.032798719
2,1.37E-12,0.999998394,0.00000,Brasil,Belo Horizonte,Pedro Leopoldo,1009.1697,639.9451,4.0568,72.7839,6.3143,0.650415797,1250.987,0,0,1.084634506,5.50469899,1466.445235,0.014115035
3,1.08E-09,2.39E-24,1.00000,Brasil,Belo Horizonte,Ribeirão das Neves,3914.193,725.1094,5.0373,62.52,267.8769,3.028884349,4498.458,0,0,1.058641818,31.74937176,6598.759715,0.041591994
