screen_name,created_since,favourites_count,followers_count,friends_count,listed_count,statuses_count
PeterRipka,874,12751,177,1583,17,2167
DariusPhilipp,265,66,19,198,0,41
ngfriedman138,2750,259,121,290,7,291
res_gi,238,58,84,1501,3,9
nimdoc,2939,2274,706,1637,38,1254
RhobearI,184,348,969,4668,5,181
tamilyn,3967,108,85,1012,5,531
oliveira_mc,3511,4540,77,721,0,422
kireals,1705,2401,32,311,2,473
nazifberat,3490,6899,3119,4946,50,6485
highqualitysh1t,1865,558,1625,679,16,270
taesiri,738,5260,32,812,0,31
puneet_pushkar,1780,18,48,422,0,92
JeffClark,3978,979,4031,813,515,2433
shafiahmed,4337,5,1,3697,2,1699
julian_naranjo6,1526,2,35,233,0,210
YeferDMarin,1909,72,41,262,0,15
santiblanko,3026,453,411,437,33,812
degrammer,2206,128,291,1120,13,588
ChFong,769,20233,5581,4730,64,2449
c4milo,3570,33890,1662,1643,112,14992
fergalus,3207,2407,77,1037,0,229
julian_duque,2871,13787,10103,3734,324,18049
maleja111,3432,8202,1406,531,30,3951
cat_c_b,817,3053,163,631,2,534
heyDrEC,2223,14,23,192,2,154
grantpezeshki,2237,676,32,214,0,62
iris9112,2674,11072,759,826,15,4152
anfer515,2794,4,11,143,0,1
jspairani,2473,2803,34,165,2,100
fy_fanfan,971,84,81,313,14,33
cpenalozag,385,9,4,16,0,21
anamcard,1639,20,18,650,0,11
GBPlucinska,1069,316,446,497,13,241
LacePadilla,748,280,1195,227,9,181
mjskay,3570,1685,1555,96,49,663
aa_yair,2158,9,15,150,0,6
CartesDuMonde,158,1528,667,3468,9,649
jtheo,4432,27116,1741,1667,28,2013
twochoicestom,3655,1868,257,560,4,3124
tutorialznow,2154,15,38,114,3,44
JessicaHullman,2055,1382,1759,330,80,720
drpaulparsons,1925,72,112,329,6,39
C_Sterzik,2504,1374,341,373,12,701
MalloryATLdata,1364,581,364,792,13,416
vishalkumarldn,1840,5312,481,1281,12,638
martinjhnhadley,2528,8673,1023,1783,70,9563
PabloAl34849692,383,0,2,15,0,31
recifs,3045,3121,1536,1219,142,37872
PeteAnsell,3631,3175,2630,4240,203,4343
Bryefe,510,2001,41,577,0,202
gcarolinarojas,3242,3253,113,495,0,2080
vlad0x,3498,3,40,74,1,124
ritsos_p,3572,3147,1197,2485,114,1991
mudfire,2536,4037,1190,945,107,3136
FerchoMartinezC,2842,5166,1550,971,18,7686
aastroza,3542,4528,949,1706,25,11385
GavinWayte,1735,1351,294,610,5,1059
andy_scholand,3913,3287,214,2460,5,188
10_arjun,2527,391,220,437,4,439
cpirako,3480,2276,95,352,0,373
fabiancpl,2888,56,43,87,0,28
carolinanobre84,982,77,53,127,1,21
RadhoueneAzzabi,3226,2,33,17,1,0
parraguezr,4055,1533,1380,2713,43,2309
erickedu85,3527,101,71,199,0,113
YuriEngelhardt,2868,1149,1936,291,161,561
Tarazona_D,2661,7380,1941,687,55,18392
Matthew99958789,113,0,0,14,0,0
PierreRaimbaud,146,20,3,15,0,14
